STATIONS_ID;MESS_DATUM;QN_2;V_TE002M;V_TE005M;V_TE010M;V_TE020M;V_TE050M;eor
        403;20161112;    3;  -999;   1.0;   2.0;   3.2;   6.3;eor
        403;20161113;    3;  -999;   0.1;   1.1;   2.3;   5.7;eor
        403;20161114;    3;  -999;  -0.4;   0.6;   1.7;   5.1;eor
        403;20161115;    3;  -999;   0.3;   1.0;   1.8;   4.7;eor
        403;20161116;    3;  -999;   5.4;   5.2;   4.7;   5.1;eor
        403;20161117;    3;  -999;   6.8;   6.7;   6.4;   6.3;eor
        403;20161118;    3;  -999;   7.1;   7.2;   7.1;   7.0;eor
        403;20161119;    3;  -999;   4.7;   5.2;   5.7;   7.0;eor
        403;20161120;    3;  -999;   3.9;   4.4;   4.9;   6.6;eor
        403;20161121;    3;  -999;   5.2;   5.5;   5.7;   6.6;eor
        403;20161122;    3;  -999;   6.0;   6.2;   6.3;   6.9;eor
        403;20161123;    3;  -999;   5.0;   5.5;   5.9;   6.9;eor
        403;20161124;    3;  -999;   4.5;   5.1;   5.6;   6.8;eor
        403;20161125;    3;  -999;   3.1;   3.7;   4.4;   6.4;eor
        403;20161126;    3;  -999;   3.1;   3.7;   4.3;   6.1;eor
        403;20161127;    3;  -999;   3.1;   3.8;   4.3;   5.9;eor
        403;20161128;    3;  -999;   0.4;   1.6;   2.7;   5.5;eor
        403;20161129;    3;  -999;  -0.7;   0.5;   1.7;   4.7;eor
        403;20161130;    3;  -999;  -0.6;   0.1;   1.1;   4.1;eor
        403;20161201;    3;  -999;   3.5;   3.3;   3.0;   4.0;eor
        403;20161202;    3;  -999;   2.7;   3.4;   3.9;   4.9;eor
        403;20161203;    3;  -999;   0.4;   1.2;   2.2;   4.5;eor
        403;20161204;    3;  -999;   0.1;   0.9;   1.7;   4.0;eor
        403;20161205;    3;  -999;   0.1;   0.8;   1.5;   3.7;eor
        403;20161206;    3;  -999;  -0.1;   0.6;   1.2;   3.5;eor
        403;20161207;    3;  -999;   0.5;   1.1;   1.5;   3.3;eor
        403;20161208;    3;  -999;   2.6;   2.7;   2.7;   3.5;eor
        403;20161209;    3;  -999;   5.0;   4.8;   4.3;   4.2;eor
        403;20161210;    3;  -999;   6.6;   6.4;   5.9;   5.1;eor
        403;20161211;    3;  -999;   6.3;   6.4;   6.2;   5.8;eor
        403;20161212;    3;  -999;   3.9;   4.7;   5.2;   5.9;eor
        403;20161213;    3;  -999;   0.8;   1.6;   2.6;   5.1;eor
        403;20161214;    3;  -999;   3.4;   3.6;   3.7;   4.7;eor
