STATIONS_ID;MESS_DATUM;QN_2;V_TE002M;V_TE005M;V_TE010M;V_TE020M;V_TE050M;eor
       1981;20161112;    3;  -999;   1.0;   1.7;   3.2;   5.9;eor
       1981;20161113;    3;  -999;   1.1;   1.7;   3.0;   5.6;eor
       1981;20161114;    3;  -999;   0.5;   1.2;   2.6;   5.3;eor
       1981;20161115;    3;  -999;   4.2;   3.9;   3.8;   5.2;eor
       1981;20161116;    3;  -999;   6.3;   6.0;   5.6;   6.0;eor
       1981;20161117;    3;  -999;   6.7;   6.7;   6.6;   6.8;eor
       1981;20161118;    3;  -999;   6.0;   6.2;   6.6;   7.2;eor
       1981;20161119;    3;  -999;   3.7;   4.2;   5.3;   6.9;eor
       1981;20161120;    3;  -999;   3.6;   3.8;   4.6;   6.4;eor
       1981;20161121;    3;  -999;   7.6;   7.1;   6.5;   6.6;eor
       1981;20161122;    3;  -999;   7.6;   7.5;   7.4;   7.4;eor
       1981;20161123;    3;  -999;   7.6;   7.7;   7.7;   7.9;eor
       1981;20161124;    3;  -999;   3.8;   4.6;   6.1;   7.7;eor
       1981;20161125;    3;  -999;   2.3;   3.0;   4.4;   6.8;eor
       1981;20161126;    3;  -999;   3.3;   3.6;   4.3;   6.2;eor
       1981;20161127;    3;  -999;   3.4;   3.9;   4.8;   6.3;eor
       1981;20161128;    3;  -999;   0.8;   1.7;   3.3;   5.9;eor
       1981;20161129;    3;  -999;  -0.1;   0.7;   2.3;   5.1;eor
       1981;20161130;    3;  -999;   0.1;   0.6;   1.9;   4.6;eor
       1981;20161201;    3;  -999;   5.3;   4.7;   4.0;   4.7;eor
       1981;20161202;    3;  -999;   2.9;   3.5;   4.5;   5.5;eor
       1981;20161203;    3;  -999;   0.8;   1.5;   2.9;   5.1;eor
       1981;20161204;    3;  -999;   0.4;   1.0;   2.2;   4.5;eor
       1981;20161205;    3;  -999;  -0.1;   0.5;   1.8;   4.1;eor
       1981;20161206;    3;  -999;   0.0;   0.4;   1.5;   3.8;eor
       1981;20161207;    3;  -999;   0.4;   0.7;   1.6;   3.6;eor
       1981;20161208;    3;  -999;   4.0;   3.6;   3.2;   3.8;eor
       1981;20161209;    3;  -999;   6.6;   6.0;   5.1;   4.8;eor
       1981;20161210;    3;  -999;   7.4;   7.0;   6.5;   5.8;eor
       1981;20161211;    3;  -999;   7.0;   6.9;   6.7;   6.4;eor
       1981;20161212;    3;  -999;   6.3;   6.4;   6.5;   6.7;eor
       1981;20161213;    3;  -999;   5.7;   5.8;   6.0;   6.6;eor
       1981;20161214;    3;  -999;   6.5;   6.4;   6.4;   6.6;eor
       1981;20161215;    3;  -999;   4.4;   4.9;   5.7;   6.7;eor
       1981;20161216;    3;  -999;   2.3;   2.9;   4.2;   6.1;eor
       1981;20161217;    3;  -999;   3.1;   3.3;   3.9;   5.5;eor
       1981;20161218;    3;  -999;   5.5;   5.3;   5.0;   5.6;eor
       1981;20161219;    3;  -999;   4.9;   5.1;   5.5;   6.1;eor
       1981;20161220;    3;  -999;   3.3;   3.8;   4.7;   6.0;eor
       1981;20161221;    3;  -999;   2.1;   2.5;   3.6;   5.5;eor
       1981;20161222;    3;  -999;   3.9;   4.0;   4.2;   5.2;eor
       1981;20161223;    3;  -999;   4.5;   4.5;   4.7;   5.5;eor
       1981;20161224;    3;  -999;   5.1;   5.0;   5.1;   5.7;eor
       1981;20161225;    3;  -999;   6.8;   6.4;   5.9;   6.0;eor
       1981;20161226;    3;  -999;   7.1;   7.2;   7.2;   6.8;eor
       1981;20161227;    3;  -999;   5.7;   5.7;   6.0;   6.7;eor
       1981;20161228;    3;  -999;   6.3;   6.3;   6.4;   6.8;eor
       1981;20161229;    3;  -999;   3.3;   4.1;   5.3;   6.7;eor
       1981;20161230;    3;  -999;   1.0;   1.8;   3.4;   5.8;eor
       1981;20161231;    3;  -999;   1.3;   1.8;   2.8;   5.0;eor
       1981;20170101;    3;  -999;   3.3;   3.4;   3.7;   4.9;eor
       1981;20170102;    3;  -999;   1.7;   2.3;   3.3;   4.9;eor
       1981;20170103;    3;  -999;   3.2;   3.1;   3.3;   4.6;eor
       1981;20170104;    3;  -999;   3.1;   3.4;   4.0;   4.9;eor
